Trials,Fair,Biased
18600,0.499355,0.698548
18700,0.499198,0.698824
18800,0.499681,0.698830
18900,0.500265,0.698519
19000,0.500211,0.699053
19100,0.500681,0.699162
19200,0.500313,0.699010
19300,0.500259,0.699067
19400,0.500258,0.699175
19500,0.500359,0.698872
19600,0.500510,0.698878
19700,0.500305,0.699086
19800,0.500051,0.699242
19900,0.500201,0.699397
20000,0.500350,0.699500
20100,0.500348,0.699204
20200,0.500248,0.699010
20300,0.500296,0.698818
20400,0.500196,0.698971
20500,0.500195,0.699122
20600,0.500388,0.699417
20700,0.500193,0.699420
20800,0.500192,0.699519
20900,0.500478,0.699856
21000,0.500429,0.699952
21100,0.500427,0.699858
21200,0.500236,0.700094
21300,0.500704,0.700000
21400,0.500888,0.700047
21500,0.501023,0.700233
21600,0.500833,0.699861
21700,0.500553,0.699954
21800,0.500183,0.700275
21900,0.500228,0.700594
22000,0.500500,0.700455
22100,0.500498,0.700498
22200,0.500631,0.700000
22300,0.500852,0.699955
22400,0.501116,0.699911
22500,0.501067,0.699733
22600,0.501195,0.699779
22700,0.501322,0.699780
22800,0.500921,0.699956
22900,0.500786,0.700175
23000,0.501043,0.700435
23100,0.500996,0.700433
23200,0.500733,0.700647
23300,0.501030,0.700730
23400,0.500726,0.701026
23500,0.500894,0.700809
23600,0.500805,0.700890
23700,0.500759,0.700802
23800,0.500462,0.700588
23900,0.500586,0.700293
24000,0.500667,0.700458
24100,0.500871,0.700249
24200,0.500909,0.700083
24300,0.500617,0.700082
24400,0.500574,0.700082
24500,0.500449,0.699959
24600,0.500650,0.700163
24700,0.500648,0.700324
24800,0.500565,0.700282
24900,0.500562,0.700080
25000,0.500400,0.700280
25100,0.500438,0.700518
25200,0.500238,0.700794
25300,0.500158,0.700909
25400,0.499961,0.701142
25500,0.500078,0.701020
25600,0.499961,0.701289
25700,0.500117,0.701362
25800,0.500310,0.701434
25900,0.500811,0.701506
26000,0.500423,0.701385
26100,0.500421,0.701418
26200,0.500153,0.701298
26300,0.499924,0.701559
26400,0.500189,0.701553
26500,0.499698,0.701698
26600,0.499549,0.701541
26700,0.499775,0.701049
26800,0.499776,0.700821
26900,0.499851,0.700706
27000,0.499852,0.700704
27100,0.499705,0.700590
27200,0.499596,0.700662
27300,0.499377,0.700403
27400,0.499599,0.700255
27500,0.499527,0.700400
27600,0.499493,0.700471
27700,0.499242,0.700361
27800,0.499388,0.700360
27900,0.499391,0.700108
28000,0.499679,0.699929
28100,0.499751,0.699822
28200,0.499291,0.699752
28300,0.499470,0.700071
28400,0.499225,0.700211
28500,0.499333,0.700456
28600,0.499441,0.700734
28700,0.499477,0.700906
28800,0.499549,0.700903
28900,0.499654,0.700900
29000,0.499414,0.701034
29100,0.499622,0.700997
29200,0.499384,0.701027
29300,0.499283,0.701365
29400,0.499456,0.701224
29500,0.499051,0.701525
29600,0.498986,0.701588
29700,0.499091,0.701549
29800,0.499027,0.701342
29900,0.499064,0.701204
30000,0.499200,0.701200
30100,0.499203,0.701661
30200,0.499272,0.701887
30300,0.499571,0.701881
30400,0.499342,0.701875
30500,0.499443,0.702262
30600,0.499510,0.701961
30700,0.499479,0.702345
30800,0.499351,0.702403
30900,0.499385,0.702524
31000,0.499742,0.702484
31100,0.499807,0.702444
31200,0.499455,0.702372
31300,0.499329,0.702268
31400,0.499331,0.702102
31500,0.499111,0.702254
31600,0.499272,0.702658
31700,0.499369,0.703028
31800,0.499340,0.702925
31900,0.499624,0.702853
32000,0.499812,0.702844
32100,0.499907,0.702741
32200,0.500031,0.702609
32300,0.499876,0.702570
32400,0.499537,0.702654
32500,0.499692,0.702677
32600,0.499693,0.702822
32700,0.499939,0.702875
32800,0.499756,0.702957
32900,0.499787,0.702705
33000,0.500000,0.702364
33100,0.500000,0.702296
33200,0.500151,0.702289
33300,0.500000,0.702282
33400,0.500240,0.702186
33500,0.500448,0.702239
33600,0.500506,0.702113
33700,0.500504,0.701899
33800,0.500503,0.701657
33900,0.500383,0.701445
34000,0.500206,0.701235
34100,0.499736,0.701114
34200,0.500088,0.701082
34300,0.500175,0.701108
34400,0.500262,0.701134
34500,0.500232,0.701159
34600,0.500145,0.701272
34700,0.500259,0.700951
34800,0.500259,0.700891
34900,0.500287,0.700888
35000,0.500286,0.700743
35100,0.500256,0.700912
35200,0.500000,0.700795
35300,0.500000,0.700595
35400,0.499859,0.700960
35500,0.499634,0.700901
35600,0.499466,0.700983
35700,0.499552,0.700924
35800,0.499721,0.701034
35900,0.499415,0.700836
36000,0.499417,0.700917
36100,0.499501,0.700886
36200,0.499282,0.700912
36300,0.499201,0.700771
36400,0.499396,0.700714
36500,0.499288,0.700685
36600,0.499317,0.700738
36700,0.499292,0.700790
36800,0.499402,0.700842
36900,0.499431,0.700921
37000,0.499351,0.700784
37100,0.499326,0.700889
37200,0.499409,0.700538
37300,0.499410,0.700536
37400,0.499545,0.700749
37500,0.499627,0.700853
37600,0.499601,0.700878
37700,0.499708,0.700981
37800,0.499656,0.701164
37900,0.499815,0.701187
38000,0.500079,0.701184
38100,0.500157,0.701260
38200,0.500105,0.701466
38300,0.500026,0.701410
38400,0.499870,0.701172
38500,0.499740,0.701195
38600,0.499922,0.700803
38700,0.499922,0.700879
38800,0.499768,0.700979
38900,0.499871,0.701080
39000,0.499923,0.701000
39100,0.500026,0.700895
39200,0.499872,0.701173
39300,0.500000,0.701043
39400,0.500102,0.701015
39500,0.500329,0.700911
39600,0.500480,0.700909
39700,0.500529,0.700831
39800,0.500729,0.700980
39900,0.500902,0.701053
40000,0.501100,0.701175
40100,0.501147,0.701047
40200,0.501095,0.701020
40300,0.500844,0.700918
40400,0.500842,0.700817
40500,0.500790,0.700840
40600,0.500862,0.700862
40700,0.500934,0.700958
40800,0.501029,0.701103
40900,0.500782,0.701149
41000,0.500780,0.701122
41100,0.500876,0.701119
41200,0.500680,0.701141
41300,0.500605,0.701090
41400,0.500604,0.701063
41500,0.500458,0.701036
41600,0.500361,0.700865
41700,0.500216,0.700935
41800,0.500096,0.700861
41900,0.500048,0.700883
42000,0.500286,0.700881
42100,0.500523,0.700879
42200,0.500545,0.700782
42300,0.500709,0.700733
42400,0.500495,0.700708
42500,0.500400,0.700682
42600,0.500376,0.700869
42700,0.500515,0.700562
42800,0.500584,0.700607
42900,0.500723,0.700769
43000,0.500814,0.700605
43100,0.500812,0.700650
43200,0.500880,0.700741
43300,0.500970,0.700670
43400,0.501198,0.700668
43500,0.501287,0.700874
43600,0.501445,0.700619
43700,0.501510,0.700732
43800,0.501553,0.700936
43900,0.501435,0.700934
44000,0.501364,0.700977
44100,0.501451,0.701043
44200,0.501380,0.700973
44300,0.501332,0.700858
44400,0.501171,0.700946
44500,0.501258,0.700787
44600,0.501345,0.700762
44700,0.501208,0.700828
44800,0.501384,0.700960
44900,0.501359,0.700980
45000,0.501400,0.700933
45100,0.501508,0.701020
45200,0.501527,0.701106
45300,0.501523,0.701236
45400,0.501454,0.701256
45500,0.501560,0.701297
45600,0.501425,0.701425
45700,0.501291,0.701466
45800,0.501114,0.701288
45900,0.501220,0.701155
46000,0.501130,0.701109
46100,0.501085,0.700954
46200,0.500866,0.701169
46300,0.500929,0.701253
46400,0.500927,0.701293
46500,0.501054,0.701441
46600,0.501116,0.701352
46700,0.501178,0.701285
46800,0.501090,0.701325
46900,0.501173,0.701173
47000,0.501255,0.701277
47100,0.501231,0.701338
47200,0.501229,0.701483
47300,0.501247,0.701480
47400,0.501118,0.701498
47500,0.500968,0.701389
47600,0.501071,0.701261
47700,0.500943,0.701195
47800,0.500837,0.701192
47900,0.500898,0.701211
48000,0.500708,0.701083
48100,0.500665,0.701164
48200,0.500664,0.701162
48300,0.500538,0.701222
48400,0.500620,0.701343
48500,0.500660,0.701402
48600,0.500720,0.701379
48700,0.500719,0.701396
48800,0.500738,0.701270
48900,0.500838,0.701370
49000,0.500776,0.701367
49100,0.500754,0.701344
49200,0.500650,0.701260
49300,0.500507,0.701258
49400,0.500668,0.701255
49500,0.500727,0.701333
49600,0.500665,0.701492
49700,0.500704,0.701509
49800,0.500582,0.701426
49900,0.500561,0.701363
50000,0.500580,0.701500
50100,0.500559,0.701517
50200,0.500438,0.701554
50300,0.500398,0.701511
50400,0.500615,0.701508
50500,0.500653,0.701386
50600,0.500553,0.701344
50700,0.500631,0.701420
50800,0.500689,0.701457
50900,0.500511,0.701375
51000,0.500431,0.701216
51100,0.500333,0.701213
51200,0.500234,0.701211
51300,0.500234,0.700994
51400,0.500156,0.700973
51500,0.500097,0.700854
51600,0.499903,0.701027
51700,0.499768,0.701103
51800,0.499768,0.701081
51900,0.499711,0.701002
52000,0.499788,0.701115
52100,0.499712,0.701171
52200,0.499789,0.701130
52300,0.499751,0.701185
52400,0.499790,0.701202
52500,0.499867,0.701238
52600,0.499924,0.701160
52700,0.499848,0.701271
52800,0.499754,0.701307
52900,0.499811,0.701304
53000,0.499792,0.701151
53100,0.499718,0.701111
53200,0.499850,0.701128
53300,0.499775,0.701088
53400,0.499794,0.701105
53500,0.499832,0.701103
53600,0.499757,0.700914
53700,0.499721,0.701024
53800,0.499684,0.700836
53900,0.499740,0.700909
54000,0.499778,0.700778
54100,0.499575,0.700832
54200,0.499539,0.700886
54300,0.499503,0.700958
54400,0.499651,0.701085
54500,0.499688,0.701101
54600,0.499780,0.701117
54700,0.499817,0.701042
54800,0.499726,0.700931
54900,0.499617,0.700984
55000,0.499582,0.701018
55100,0.499474,0.701071
55200,0.499457,0.701069
55300,0.499439,0.701067
55400,0.499350,0.701155
55500,0.499369,0.701225
55600,0.499550,0.701223
55700,0.499569,0.701149
55800,0.499516,0.701219
55900,0.499553,0.701199
56000,0.499607,0.701143
56100,0.499501,0.701248
56200,0.499609,0.701352
56300,0.499591,0.701403
56400,0.499450,0.701401
56500,0.499575,0.701327
56600,0.499664,0.701272
56700,0.499577,0.701217
56800,0.499595,0.701356
56900,0.499490,0.701406
57000,0.499544,0.701351
57100,0.499562,0.701419
57200,0.499615,0.701381
57300,0.499686,0.701291
57400,0.499617,0.701237
57500,0.499635,0.701148
57600,0.499670,0.701181
57700,0.499705,0.701196
57800,0.499689,0.701125
57900,0.499689,0.701192
58000,0.499776,0.701121
58100,0.499845,0.701291
58200,0.499897,0.701289
58300,0.499846,0.701252
58400,0.499863,0.701130
58500,0.499863,0.700957
58600,0.499727,0.700870
58700,0.499608,0.700818
58800,0.499677,0.700833
58900,0.499796,0.700849
59000,0.499847,0.700831
59100,0.499882,0.700931
59200,0.499865,0.700980
59300,0.500051,0.700995
59400,0.500051,0.701128
59500,0.499983,0.701059
59600,0.500000,0.700906
59700,0.499899,0.701005
59800,0.500000,0.700953
59900,0.500067,0.700985
60000,0.500117,0.701017
60100,0.500133,0.701082
60200,0.500133,0.701096
60300,0.500232,0.700995
60400,0.500166,0.700977
60500,0.500248,0.701008
60600,0.500165,0.701023
60700,0.500115,0.701021
60800,0.500099,0.700921
60900,0.500148,0.701002
61000,0.500164,0.701148
61100,0.500196,0.701195
61200,0.500278,0.701225
61300,0.500277,0.701240
61400,0.500147,0.701156
61500,0.500114,0.701203
61600,0.500049,0.701169
61700,0.500113,0.701135
61800,0.500178,0.701197
61900,0.500162,0.701082
62000,0.500242,0.700968
62100,0.500177,0.700998
62200,0.500193,0.701061
62300,0.500417,0.701091
62400,0.500337,0.700994
62500,0.500400,0.700976
62600,0.500319,0.700927
62700,0.500287,0.700845
62800,0.500334,0.700780
62900,0.500270,0.700731
63000,0.500190,0.700730
63100,0.500127,0.700887
63200,0.500206,0.700902
63300,0.500142,0.700900
63400,0.500095,0.700915
63500,0.500157,0.700835
63600,0.500220,0.700881
63700,0.500204,0.700942
63800,0.500000,0.700909
63900,0.500047,0.700861
64000,0.500188,0.700891
64100,0.500218,0.700889
64200,0.500218,0.700950
64300,0.500264,0.701089
64400,0.500295,0.701025
64500,0.500186,0.701116
64600,0.500217,0.701238
64700,0.500155,0.701082
64800,0.499969,0.701127
64900,0.499938,0.701125
65000,0.499877,0.701092
65100,0.500031,0.701060
65200,0.500169,0.701212
65300,0.500077,0.701164
65400,0.500000,0.701162
65500,0.499954,0.701115
65600,0.500030,0.701204
65700,0.499970,0.701187
65800,0.499863,0.701216
65900,0.499863,0.701275
66000,0.499909,0.701333
66100,0.499909,0.701437
66200,0.499758,0.701511
66300,0.499698,0.701463
66400,0.499684,0.701476
66500,0.499699,0.701429
66600,0.499775,0.701486
66700,0.499715,0.701394
66800,0.499895,0.701332
66900,0.499985,0.701315
67000,0.499851,0.701313
67100,0.499747,0.701326
67200,0.499821,0.701295
67300,0.499807,0.701322
67400,0.499807,0.701187
67500,0.499778,0.701185
67600,0.499778,0.701139
67700,0.499764,0.701137
67800,0.499794,0.701121
67900,0.499853,0.701208
68000,0.499897,0.701162
68100,0.499941,0.701219
68200,0.500029,0.701129
68300,0.500117,0.701025
68400,0.500117,0.700950
68500,0.500058,0.700920
68600,0.500117,0.700889
68700,0.500218,0.700888
68800,0.500203,0.700872
68900,0.500218,0.700914
69000,0.500232,0.700899
69100,0.500289,0.700912
69200,0.500303,0.700939
69300,0.500317,0.700851
69400,0.500331,0.700778
69500,0.500259,0.700921
69600,0.500201,0.700891
69700,0.500201,0.700818
69800,0.500315,0.700759
69900,0.500243,0.700629
70000,0.500214,0.700729
70100,0.500257,0.700742
70200,0.500071,0.700826
70300,0.500156,0.700882
70400,0.500114,0.700810
70500,0.500057,0.700851
70600,0.500085,0.700836
70700,0.500028,0.700849
70800,0.499887,0.700932
70900,0.499873,0.701001
71000,0.499887,0.701056
71100,0.499916,0.700985
71200,0.499986,0.701081
71300,0.500056,0.701066
71400,0.499944,0.701106
71500,0.499958,0.701077
71600,0.500028,0.701061
71700,0.499958,0.701116
71800,0.499930,0.701170
71900,0.499944,0.701210
72000,0.499944,0.701306
72100,0.499931,0.701373
72200,0.499792,0.701468
72300,0.499696,0.701494
72400,0.499613,0.701561
72500,0.499559,0.701614
72600,0.499449,0.701736
72700,0.499381,0.701664
72800,0.499354,0.701676
72900,0.499287,0.701605
73000,0.499356,0.701589
73100,0.499439,0.701546
73200,0.499426,0.701503
73300,0.499468,0.701542
73400,0.499401,0.701540
73500,0.499401,0.701497
73600,0.499416,0.701399
73700,0.499484,0.701465
73800,0.499485,0.701518
73900,0.499445,0.701407
74000,0.499568,0.701446
74100,0.499622,0.701350
74200,0.499582,0.701469
74300,0.499704,0.701440
74400,0.499677,0.701384
74500,0.499852,0.701423
74600,0.499853,0.701515
74700,0.499866,0.701593
74800,0.499746,0.701631
74900,0.499666,0.701549
75000,0.499533,0.701400
75100,0.499614,0.701478
75200,0.499668,0.701489
75300,0.499708,0.701514
75400,0.499642,0.701499
75500,0.499616,0.701417
75600,0.499537,0.701323
75700,0.499458,0.701334
75800,0.499472,0.701398
75900,0.499460,0.701423
76000,0.499421,0.701566
76100,0.499330,0.701616
76200,0.499226,0.701640
76300,0.499214,0.701664
76400,0.499097,0.701806
76500,0.499059,0.701752
76600,0.499073,0.701893
76700,0.499153,0.701799
76800,0.499076,0.701810
76900,0.499090,0.701743
77000,0.499130,0.701727
77100,0.499144,0.701660
77200,0.499236,0.701762
77300,0.499224,0.701772
77400,0.499173,0.701886
77500,0.499200,0.701897
77600,0.499124,0.701959
77700,0.499125,0.701931
77800,0.499126,0.701928
77900,0.499050,0.701900
78000,0.499000,0.701936
78100,0.499065,0.701933
78200,0.499118,0.701905
78300,0.499042,0.702018
78400,0.499158,0.701990
78500,0.499223,0.702025
78600,0.499288,0.701921
78700,0.499225,0.702033
78800,0.499239,0.702094
78900,0.499290,0.702079
79000,0.499392,0.702139
79100,0.499368,0.702149
79200,0.499255,0.702109
79300,0.499231,0.702257
79400,0.499257,0.702242
79500,0.499245,0.702264
79600,0.499234,0.702274
79700,0.499172,0.702309
79800,0.499185,0.702343
79900,0.499161,0.702365
80000,0.499188,0.702375
80100,0.499189,0.702297
80200,0.499302,0.702244
80300,0.499290,0.702354
80400,0.499279,0.702363
80500,0.499391,0.702522
80600,0.499380,0.702556
80700,0.499455,0.702615
80800,0.499493,0.702599
80900,0.499555,0.702645
81000,0.499531,0.702642
81100,0.499581,0.702700
81200,0.499544,0.702648
81300,0.499533,0.702571
81400,0.499484,0.702506
81500,0.499485,0.702491
81600,0.499498,0.702525
81700,0.499437,0.702436
81800,0.499487,0.702518
81900,0.499463,0.702479
82000,0.499561,0.702451
82100,0.499574,0.702485
82200,0.499477,0.702372
82300,0.499514,0.702345
82400,0.499515,0.702391
82500,0.499539,0.702364
82600,0.499625,0.702337
82700,0.499553,0.702273
82800,0.499565,0.702271
82900,0.499614,0.702268
83000,0.499614,0.702325
83100,0.499651,0.702371
83200,0.499531,0.702356
83300,0.499544,0.702389
83400,0.499580,0.702398
83500,0.499533,0.702443
83600,0.499545,0.702428
83700,0.499654,0.702389
83800,0.499726,0.702399
83900,0.499774,0.702372
84000,0.499774,0.702440
84100,0.499834,0.702319
84200,0.499810,0.702233
84300,0.499881,0.702278
84400,0.500012,0.702334
84500,0.500047,0.702438
84600,0.500083,0.702411
84700,0.500094,0.702326
84800,0.500035,0.702288
84900,0.500118,0.702344
85000,0.500094,0.702365
85100,0.500094,0.702338
85200,0.500035,0.702347
85300,0.500012,0.702321
85400,0.500023,0.702295
85500,0.500058,0.702234
85600,0.500047,0.702231
85700,0.500070,0.702182
85800,0.500047,0.702110
85900,0.500081,0.702072
86000,0.500023,0.702105
86100,0.500070,0.702091
86200,0.500081,0.702181
86300,0.500046,0.702121
86400,0.500069,0.702222
86500,0.500116,0.702197
86600,0.500127,0.702206
86700,0.500035,0.702203
86800,0.500104,0.702350
86900,0.500184,0.702359
87000,0.500230,0.702425
87100,0.500230,0.702445
87200,0.500138,0.702511
87300,0.500069,0.702451
87400,0.500080,0.702506
87500,0.500103,0.702411
87600,0.500148,0.702443
87700,0.500182,0.702486
87800,0.500205,0.702426
87900,0.500284,0.702491
88000,0.500284,0.702466
88100,0.500306,0.702406
88200,0.500340,0.702370
88300,0.500238,0.702265
88400,0.500158,0.702274
88500,0.500215,0.702294
88600,0.500305,0.702359
88700,0.500203,0.702390
88800,0.500270,0.702342
88900,0.500214,0.702362
89000,0.500202,0.702337
89100,0.500168,0.702278
89200,0.500213,0.702399
89300,0.500168,0.702363
89400,0.500101,0.702282
89500,0.500212,0.702291
89600,0.500201,0.702310
89700,0.500268,0.702330
89800,0.500223,0.702372
89900,0.500189,0.702280
90000,0.500178,0.702289
90100,0.500133,0.702253
90200,0.500144,0.702217
90300,0.500155,0.702193
90400,0.500199,0.702179
90500,0.500122,0.702188
90600,0.500155,0.702141
90700,0.500110,0.702161
90800,0.500022,0.702247
90900,0.499989,0.702200
91000,0.500011,0.702154
91100,0.499989,0.702206
91200,0.500066,0.702182
91300,0.500000,0.702026
91400,0.500164,0.702101
91500,0.500131,0.702044
91600,0.500131,0.702041
91700,0.500044,0.702050
91800,0.500044,0.702015
91900,0.500011,0.702002
92000,0.499967,0.702033
92100,0.499902,0.701998
92200,0.499935,0.701941
92300,0.499913,0.701918
92400,0.499957,0.701894
92500,0.499989,0.701903
92600,0.499935,0.701944
92700,0.499892,0.702039
92800,0.499871,0.702037
92900,0.499828,0.702110
93000,0.499839,0.702129
93100,0.499796,0.702148
93200,0.499785,0.702103
93300,0.499829,0.702036
93400,0.499829,0.702131
93500,0.499850,0.702118
93600,0.499893,0.702062
93700,0.499819,0.701974
93800,0.499840,0.702004
93900,0.499819,0.701981
94000,0.499787,0.701915
94100,0.499766,0.701913
94200,0.499830,0.701879
94300,0.499862,0.701898
94400,0.499915,0.701843
94500,0.499852,0.701862
94600,0.499863,0.701839
94700,0.499842,0.701795
94800,0.499789,0.701825
94900,0.499852,0.701728
95000,0.499758,0.701737
95100,0.499674,0.701725
95200,0.499727,0.701733
95300,0.499675,0.701721
95400,0.499748,0.701719
95500,0.499791,0.701644
95600,0.499749,0.701579
95700,0.499770,0.701442
95800,0.499843,0.701441
95900,0.499802,0.701429
96000,0.499812,0.701365
96100,0.499823,0.701509
96200,0.499844,0.701445
96300,0.499813,0.701433
96400,0.499834,0.701390
96500,0.499886,0.701378
96600,0.499938,0.701408
96700,0.499876,0.701334
96800,0.499762,0.701343
96900,0.499794,0.701445
97000,0.499753,0.701381
97100,0.499804,0.701349
97200,0.499743,0.701307
97300,0.499805,0.701357
97400,0.499887,0.701335
97500,0.499897,0.701272
97600,0.499969,0.701342
97700,0.499969,0.701300
97800,0.499990,0.701207
97900,0.499877,0.701175
98000,0.499796,0.701133
98100,0.499888,0.701193
98200,0.499980,0.701202
98300,0.499959,0.701099
98400,0.499939,0.701087
98500,0.499990,0.701096
98600,0.500010,0.701126
98700,0.500091,0.701125
98800,0.500000,0.701134
98900,0.500051,0.701102
99000,0.500121,0.701040
99100,0.500172,0.701019
99200,0.500181,0.701048
99300,0.500161,0.701118
99400,0.500091,0.701107
99500,0.500111,0.701106
99600,0.499950,0.701124
99700,0.499990,0.701153
99800,0.500030,0.701142
99900,0.500090,0.701101
100000,0.500040,0.701030
